"","ID","Cluster","V1","V2"
"H4_WM_2_4_146","H4_WM_2_4_146",2,-0.866809769657152,-15.1730690250851
"H4_WM_2_4_148","H4_WM_2_4_148",1,-10.0734288431056,-18.6141221854673
"H4_WM_2_4_149","H4_WM_2_4_149",2,6.52729825859292,-16.7000018138819
"H4_WM_2_4_150","H4_WM_2_4_150",5,14.4558720171995,-11.7697207374241
"H4_WM_2_4_151","H4_WM_2_4_151",5,15.3202480460712,-11.4336655598351
"H4_WM_2_4_152","H4_WM_2_4_152",2,6.16242763488566,-15.4198226749917
"H4_WM_2_4_155","H4_WM_2_4_155",2,3.83680807509859,-19.6344262933648
"H4_WM_2_4_156","H4_WM_2_4_156",2,5.34592755097471,-15.5568147324989
"H4_WM_2_4_158","H4_WM_2_4_158",5,12.9743728478631,-9.18551261929267
"H4_WM_2_4_159","H4_WM_2_4_159",4,-3.0450439485299,-14.2176296958824
"H4_WM_2_4_161","H4_WM_2_4_161",5,15.4802150389769,-8.6702165623118
"H4_WM_2_4_162","H4_WM_2_4_162",2,4.45829165522025,-18.3274575038922
"H4_WM_2_4_165","H4_WM_2_4_165",5,1.46185773280076,-10.913751425392
"H4_WM_2_4_166","H4_WM_2_4_166",2,0.574066372315524,-20.9408840563698
"H4_WM_2_4_168","H4_WM_2_4_168",1,-10.0315361268789,-18.5508943725479
"H4_WM_2_4_169","H4_WM_2_4_169",2,0.0436665445984889,-21.8300701549848
"H4_WM_2_4_170","H4_WM_2_4_170",5,15.864791786207,-9.24112340671092
"H4_WM_2_4_172","H4_WM_2_4_172",8,-20.5360495385353,4.84311826773604
"H4_WM_2_4_173","H4_WM_2_4_173",4,0.173167525205883,-14.6476881796892
"H4_WM_2_4_174","H4_WM_2_4_174",2,3.46672815156551,-18.826093673071
"H4_WM_2_4_175","H4_WM_2_4_175",1,-3.31678562265219,-24.3917387686923
"H4_WM_2_4_176","H4_WM_2_4_176",1,-4.09871539122102,-24.171499453581
"H4_WM_2_4_177","H4_WM_2_4_177",6,7.90218613328312,-3.80455663281152
"H4_WM_2_4_179","H4_WM_2_4_179",7,9.63159465380419,-18.142284965734
"H4_WM_2_4_180","H4_WM_2_4_180",1,-0.467340709578714,-22.3284813975576
"H4_WM_2_4_182","H4_WM_2_4_182",4,-6.14621573649275,-6.67477949998827
