"","ID","Cluster","V1","V2"
"H4_WM_2_4_79","H4_WM_2_4_79",1,24.1926815790897,-4.87964630635188
"H4_WM_2_4_82","H4_WM_2_4_82",1,20.2907878793689,-2.68404462712213
"H4_WM_2_4_83","H4_WM_2_4_83",8,-5.65968134093723,-19.0207163936531
"H4_WM_2_4_84","H4_WM_2_4_84",5,13.2972774203995,11.0189683466263
"H4_WM_2_4_86","H4_WM_2_4_86",1,23.9285864911473,-8.64437764995252
"H4_WM_2_4_87","H4_WM_2_4_87",3,14.5854094303295,-10.0097392560236
"H4_WM_2_4_90","H4_WM_2_4_90",8,-5.36770921761555,-18.2247219430727
"H4_WM_2_4_93","H4_WM_2_4_93",1,19.8917549026509,-0.563898559922005
"H4_WM_2_4_96","H4_WM_2_4_96",1,18.5046272931523,0.978424969503859
"H4_WM_2_4_98","H4_WM_2_4_98",1,19.2452884881658,0.671979033520423
"H4_WM_2_4_99","H4_WM_2_4_99",1,25.6701083539884,-10.9787690660239
"H4_WM_2_4_100","H4_WM_2_4_100",3,12.9700537586124,5.75004699987403
"H4_WM_2_4_101","H4_WM_2_4_101",1,20.1384665734769,-6.77001001095291
"H4_WM_2_4_104","H4_WM_2_4_104",1,19.6905716887888,1.17198161543227
"H4_WM_2_4_105","H4_WM_2_4_105",1,20.3833035617271,-1.22974707100672
"H4_WM_2_4_107","H4_WM_2_4_107",7,-1.19348582574951,-22.1654209421936
"H4_WM_2_4_108","H4_WM_2_4_108",6,9.6905371319551,9.96512815920749
"H4_WM_2_4_109","H4_WM_2_4_109",1,20.8234126335998,-10.8821925578838
"H4_WM_2_4_112","H4_WM_2_4_112",1,21.1966548588899,-0.102600428021457
"H4_WM_2_4_114","H4_WM_2_4_114",3,14.6712393561259,7.39560540235186
"H4_WM_2_4_118","H4_WM_2_4_118",5,14.5767481370568,9.07399906859427
"H4_WM_2_4_119","H4_WM_2_4_119",1,22.0449962888252,-6.74889071275925
"H4_WM_2_4_121","H4_WM_2_4_121",6,14.9775441093448,9.71174831086768
"H4_WM_2_4_123","H4_WM_2_4_123",5,11.2255044494932,10.5429571034671
"H4_WM_2_4_130","H4_WM_2_4_130",1,23.9582505919035,-7.3445984254036
"H4_WM_2_4_131","H4_WM_2_4_131",3,12.1238445835196,6.9212353878529
"H4_WM_2_4_132","H4_WM_2_4_132",1,23.4576473707017,-7.17162360802083
"H4_WM_2_4_133","H4_WM_2_4_133",1,19.4755815506674,1.25894986660403
"H4_WM_2_4_136","H4_WM_2_4_136",1,19.1567855743795,-9.21127256612106
"H4_WM_2_4_137","H4_WM_2_4_137",1,21.3088866344183,-0.845025172395872
"H4_WM_2_4_138","H4_WM_2_4_138",1,16.9698669121992,-7.50891735891536
"H4_WM_2_4_141","H4_WM_2_4_141",1,23.5407419127396,-10.520257774763
"H4_WM_2_4_144","H4_WM_2_4_144",5,17.0197225326894,6.74671806843466
"H4_WM_2_4_146","H4_WM_2_4_146",3,22.7332518008781,2.64198960768326
"H4_WM_2_4_148","H4_WM_2_4_148",1,16.7175008503607,-12.3163740273092
"H4_WM_2_4_149","H4_WM_2_4_149",3,17.2724631828184,1.64218988253409
"H4_WM_2_4_150","H4_WM_2_4_150",1,16.1951266168184,8.71315547609694
"H4_WM_2_4_151","H4_WM_2_4_151",5,14.6294432685272,9.87119435804378
